日期	收盘
2018年7月27日	2,873.59
2018年7月26日	2,882.23
2018年7月25日	2,903.65
2018年7月24日	2,905.56
2018年7月23日	2,859.54
2018年7月20日	2,829.27
2018年7月19日	2,772.55
2018年7月18日	2,787.26
2018年7月17日	2,798.13
2018年7月16日	2,814.04
2018年7月13日	2,831.18
2018年7月12日	2,837.66
2018年7月11日	2,777.77
2018年7月10日	2,827.63
2018年7月9日	2,815.11
2018年7月6日	2,747.23
2018年7月5日	2,733.88
2018年7月4日	2,759.13
2018年7月3日	2,786.89
2018年7月2日	2,775.56
2018年6月29日	2,847.42
2018年6月28日	2,786.90
2018年6月27日	2,813.18
2018年6月26日	2,844.51
2018年6月25日	2,859.34
2018年6月22日	2,889.76
2018年6月21日	2,875.81
2018年6月20日	2,915.73
2018年6月19日	2,907.82
2018年6月15日	3,021.90
2018年6月14日	3,044.16
2018年6月13日	3,049.80
2018年6月12日	3,079.80
2018年6月11日	3,052.78
2018年6月8日	3,067.15
2018年6月7日	3,109.50
2018年6月6日	3,115.18
2018年6月5日	3,114.21
2018年6月4日	3,091.19
2018年6月1日	3,075.14
2018年5月31日	3,095.47
2018年5月30日	3,041.44
2018年5月29日	3,120.46
2018年5月28日	3,135.08
2018年5月25日	3,141.30
2018年5月24日	3,154.65
2018年5月23日	3,168.96
2018年5月22日	3,214.35
2018年5月21日	3,213.84
2018年5月18日	3,193.30
2018年5月17日	3,154.28
2018年5月16日	3,169.57
2018年5月15日	3,192.12
2018年5月14日	3,174.03
2018年5月11日	3,163.26
2018年5月10日	3,174.41
2018年5月9日	3,159.15
2018年5月8日	3,161.50
2018年5月7日	3,136.64
2018年5月4日	3,091.03
2018年5月3日	3,100.86
2018年5月2日	3,081.18
2018年4月27日	3,082.23
2018年4月26日	3,075.03
2018年4月25日	3,117.97
2018年4月24日	3,128.93
2018年4月23日	3,068.01
2018年4月20日	3,071.54
2018年4月19日	3,117.38
2018年4月18日	3,091.40
2018年4月17日	3,066.80
2018年4月16日	3,110.65
2018年4月13日	3,159.05
2018年4月12日	3,180.16
2018年4月11日	3,208.08
2018年4月10日	3,190.32
2018年4月9日	3,138.29
2018年4月4日	3,131.11
2018年4月3日	3,136.63
2018年4月2日	3,163.18
2018年3月30日	3,168.90
2018年3月29日	3,160.53
2018年3月28日	3,122.29
2018年3月27日	3,166.65
2018年3月26日	3,133.72
2018年3月23日	3,152.76
2018年3月22日	3,263.48
2018年3月21日	3,280.95
2018年3月20日	3,290.64
2018年3月19日	3,279.25
2018年3月16日	3,269.88
2018年3月15日	3,291.11
